                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.27411,                0.15468,                0.17022,                0.89306,                0.99997,                      1,                  0.995,                0.99494,                0.99997,                      1,                  0.995,                0.99496,                0.11653,                0.09099,                0.09075,                0.61485,              0.0011288,              0.0011288,              0.0011288
                     47,                0.26964,                0.15322,                0.16668,                0.89515,                0.99997,                      1,                  0.995,                0.99494,                0.99997,                      1,                  0.995,                0.99494,                0.13066,                 0.0889,                 0.1103,                0.61973,               0.001109,               0.001109,               0.001109
                     48,                0.27413,                0.15552,                0.16913,                0.89672,                0.99997,                      1,                  0.995,                0.99489,                0.99997,                      1,                  0.995,                0.99493,                0.12117,                0.09203,                0.09622,                0.61659,              0.0010892,              0.0010892,              0.0010892
                     49,                0.27441,                0.15488,                0.16793,                0.89429,                0.99997,                      1,                  0.995,                0.99498,                0.99997,                      1,                  0.995,                0.99492,                0.10869,                0.08932,                 0.0833,                0.61217,              0.0010694,              0.0010694,              0.0010694
                     50,                0.27136,                0.15827,                0.16733,                0.89493,                0.99997,                      1,                  0.995,                0.99497,                0.99997,                      1,                  0.995,                0.99492,                0.11388,                0.09183,                0.09054,                0.61223,              0.0010496,              0.0010496,              0.0010496
                     51,                0.26927,                0.15658,                0.16621,                0.88834,                0.99997,                      1,                  0.995,                0.99494,                0.99997,                      1,                  0.995,                0.99494,                0.12115,                0.08668,                0.08459,                0.61567,              0.0010298,              0.0010298,              0.0010298
                     52,                0.26757,                0.15502,                0.16046,                0.89019,                0.99997,                      1,                  0.995,                0.99499,                0.99997,                      1,                  0.995,                0.99499,                0.11434,                0.08633,                0.07989,                0.61319,                0.00101,                0.00101,                0.00101
                     53,                0.27102,                0.15235,                0.16336,                0.89361,                0.99997,                      1,                  0.995,                0.99499,                0.99997,                      1,                  0.995,                0.99498,                0.12081,                0.08847,                0.08387,                0.61394,              0.0009902,              0.0009902,              0.0009902
                     54,                0.26865,                0.15392,                0.16184,                0.88964,                0.99997,                      1,                  0.995,                0.99471,                0.99997,                      1,                  0.995,                0.99469,                0.12286,                0.08693,                0.09605,                0.61636,              0.0009704,              0.0009704,              0.0009704
                     55,                0.27018,                0.15392,                0.16396,                0.89089,                0.99997,                      1,                  0.995,                0.99474,                0.99997,                      1,                  0.995,                0.99483,                0.11343,                0.08934,                0.09694,                0.61273,              0.0009506,              0.0009506,              0.0009506
                     56,                0.26935,                0.15501,                0.16277,                 0.8904,                0.99995,                      1,                  0.995,                0.99488,                0.99995,                      1,                  0.995,                0.99482,                 0.1124,                0.09041,                0.08911,                0.61375,              0.0009308,              0.0009308,              0.0009308
                     57,                0.26174,                0.15265,                0.15913,                0.88848,                0.99993,                      1,                  0.995,                0.99497,                0.99993,                      1,                  0.995,                0.99499,                0.11301,                0.08738,                 0.0879,                0.61266,               0.000911,               0.000911,               0.000911
                     58,                 0.2734,                0.15494,                0.16255,                0.89056,                0.99997,                      1,                  0.995,                0.99493,                0.99997,                      1,                  0.995,                0.99499,                0.11837,                0.08765,                0.09046,                0.61384,              0.0008912,              0.0008912,              0.0008912
                     59,                0.26501,                0.15269,                0.15646,                0.88989,                0.99997,                      1,                  0.995,                0.99473,                0.99997,                      1,                  0.995,                0.99492,                0.11398,                 0.0865,                0.08292,                0.61513,              0.0008714,              0.0008714,              0.0008714
